,date_time,average_cases_7
0,2020-02-21,0.0
1,2020-02-28,92.42857142857143
2,2020-03-06,458.2857142857143
3,2020-03-13,1607.857142857143
4,2020-03-20,3703.1428571428573
5,2020-03-27,5643.428571428572
6,2020-04-03,4957.571428571428
7,2020-04-10,4054.8571428571427
8,2020-04-17,3616.4285714285716
9,2020-04-24,3004.5714285714284
10,2020-05-01,2212.8571428571427
11,2020-05-08,1485.0
12,2020-05-15,1034.0
13,2020-05-22,701.4285714285714
14,2020-05-29,532.2857142857143
15,2020-06-05,325.85714285714283
16,2020-06-12,304.14285714285717
17,2020-06-19,288.14285714285717
18,2020-06-26,221.0
19,2020-07-03,179.28571428571428
20,2020-07-10,200.28571428571428
21,2020-07-17,196.14285714285714
22,2020-07-24,228.85714285714286
23,2020-07-31,260.0
24,2020-08-07,292.2857142857143
25,2020-08-14,433.0
26,2020-08-21,554.7142857142857
27,2020-08-28,1118.7142857142858
28,2020-09-04,1280.4285714285713
29,2020-09-11,1466.857142857143
30,2020-09-18,1406.4285714285713
31,2020-09-25,1614.0
32,2020-10-02,1869.4285714285713
33,2020-10-09,2998.4285714285716
34,2020-10-16,6172.0
35,2020-10-23,12017.714285714286
36,2020-10-30,21552.714285714286
37,2020-11-06,29754.85714285714
38,2020-11-13,34503.142857142855
39,2020-11-20,34589.57142857143
40,2020-11-27,28763.85714285714
41,2020-12-04,22136.285714285714
42,2020-12-11,17474.0
43,2020-12-18,17032.85714285714
44,2020-12-25,14705.714285714286
45,2021-01-01,13978.42857142857
46,2021-01-08,16170.714285714286
47,2021-01-15,16559.714285714286
48,2021-01-22,13134.57142857143
49,2021-01-29,12469.42857142857
50,2021-02-05,11705.57142857143
51,2021-02-12,12279.57142857143
52,2021-02-19,11715.57142857143
53,2021-02-26,14717.57142857143
54,2021-03-05,18669.14285714286
55,2021-03-12,21414.0
56,2021-03-19,22527.714285714286
57,2021-03-26,22562.0
58,2021-04-02,20348.285714285714
59,2021-04-09,15788.42857142857
60,2021-04-16,15507.714285714286
61,2021-04-23,13541.285714285714
62,2021-04-30,12609.0
63,2021-05-07,10427.142857142857
64,2021-05-14,8137.428571428572
65,2021-05-21,5585.857142857143
66,2021-05-28,3958.4285714285716
67,2021-06-04,2741.8571428571427
68,2021-06-11,2100.714285714286
69,2021-06-18,1412.4285714285713
70,2021-06-25,849.2857142857143
71,2021-07-02,726.8571428571429
72,2021-07-09,902.4285714285714
73,2021-07-16,1602.0
74,2021-07-23,3439.1428571428573
75,2021-07-30,4930.428571428572
76,2021-08-06,5754.571428571428
77,2021-08-13,6177.285714285715
78,2021-08-20,6225.142857142857
79,2021-08-27,6515.142857142857
80,2021-09-03,6232.857142857143
81,2021-09-10,5385.714285714285
82,2021-09-17,4602.0
83,2021-09-24,3821.5714285714284
84,2021-10-01,3207.0
85,2021-10-08,2845.5714285714284
86,2021-10-15,2497.0
87,2021-10-22,2846.4285714285716
88,2021-10-29,3936.1428571428573
89,2021-11-05,4496.142857142857
90,2021-11-12,6675.857142857143
91,2021-11-19,8350.285714285714
92,2021-11-26,10636.285714285714
93,2021-12-03,13155.57142857143
94,2021-12-10,14907.142857142857
95,2021-12-17,20485.714285714286
96,2021-12-24,29839.14285714286
97,2021-12-31,66339.14285714286
98,2022-01-07,142005.2857142857
99,2022-01-14,168597.14285714287
100,2022-01-21,180373.0
101,2022-01-28,160192.14285714287
102,2022-02-04,115585.71428571429
103,2022-02-11,82132.85714285714
104,2022-02-18,57109.57142857143
105,2022-02-25,46836.142857142855
106,2022-03-04,37036.42857142857
107,2022-03-11,43427.42857142857
108,2022-03-18,61619.42857142857
109,2022-03-25,72466.28571428571
110,2022-04-01,69893.71428571429
111,2022-04-08,66244.57142857143
112,2022-04-15,60992.28571428572
113,2022-04-22,57346.42857142857
114,2022-04-29,59335.857142857145
115,2022-05-06,47548.28571428572
116,2022-05-13,38879.71428571428
117,2022-05-20,31916.428571428572
118,2022-05-27,22409.85714285714
119,2022-06-03,17554.571428571428
120,2022-06-10,18806.428571428572
121,2022-06-17,26309.85714285714
122,2022-06-24,42552.857142857145
123,2022-07-01,64496.71428571428
