,date_time,average_cases_7
0,2020-02-21,0.0
1,2020-02-28,0.42857142857142855
2,2020-03-06,0.5714285714285714
3,2020-03-13,11.714285714285714
4,2020-03-20,26.857142857142858
5,2020-03-27,107.42857142857143
6,2020-04-03,244.14285714285714
7,2020-04-10,352.0
8,2020-04-17,357.85714285714283
9,2020-04-24,341.2857142857143
10,2020-05-01,306.2857142857143
11,2020-05-08,322.7142857142857
12,2020-05-15,249.71428571428572
13,2020-05-22,191.14285714285714
14,2020-05-29,172.28571428571428
15,2020-06-05,159.42857142857142
16,2020-06-12,182.14285714285714
17,2020-06-19,271.14285714285717
18,2020-06-26,315.14285714285717
19,2020-07-03,351.42857142857144
20,2020-07-10,434.7142857142857
21,2020-07-17,602.0
22,2020-07-24,896.0
23,2020-07-31,1188.0
24,2020-08-07,1186.2857142857142
25,2020-08-14,1248.0
26,2020-08-21,1190.2857142857142
27,2020-08-28,1169.5714285714287
28,2020-09-04,1158.0
29,2020-09-11,1204.0
30,2020-09-18,1286.5714285714287
31,2020-09-25,1337.7142857142858
32,2020-10-02,1657.7142857142858
33,2020-10-09,2291.714285714286
34,2020-10-16,3255.714285714286
35,2020-10-23,3930.5714285714284
36,2020-10-30,4719.428571428572
37,2020-11-06,6823.142857142857
38,2020-11-13,8204.857142857143
39,2020-11-20,8516.42857142857
40,2020-11-27,7928.285714285715
41,2020-12-04,6123.142857142857
42,2020-12-11,6699.428571428572
43,2020-12-18,5477.0
44,2020-12-25,4445.0
45,2021-01-01,3386.0
46,2021-01-08,3813.5714285714284
47,2021-01-15,3708.4285714285716
48,2021-01-22,2694.1428571428573
49,2021-01-29,2533.8571428571427
50,2021-02-05,2377.0
51,2021-02-12,2424.8571428571427
52,2021-02-19,2388.1428571428573
53,2021-02-26,2875.4285714285716
54,2021-03-05,3516.8571428571427
55,2021-03-12,4109.0
56,2021-03-19,5115.285714285715
57,2021-03-26,5519.285714285715
58,2021-04-02,5589.142857142857
59,2021-04-09,4956.428571428572
60,2021-04-16,3812.5714285714284
61,2021-04-23,2813.8571428571427
62,2021-04-30,1947.2857142857142
63,2021-05-07,1271.142857142857
64,2021-05-14,1034.7142857142858
65,2021-05-21,646.7142857142857
66,2021-05-28,363.2857142857143
67,2021-06-04,214.0
68,2021-06-11,155.57142857142858
69,2021-06-18,91.85714285714286
70,2021-06-25,55.285714285714285
71,2021-07-02,52.285714285714285
72,2021-07-09,42.42857142857143
73,2021-07-16,49.57142857142857
74,2021-07-23,69.42857142857143
75,2021-07-30,132.42857142857142
76,2021-08-06,192.28571428571428
77,2021-08-13,269.0
78,2021-08-20,440.0
79,2021-08-27,676.4285714285714
80,2021-09-03,1107.7142857142858
81,2021-09-10,1671.857142857143
82,2021-09-17,3092.285714285714
83,2021-09-24,5422.0
84,2021-10-01,8669.57142857143
85,2021-10-08,12099.857142857143
86,2021-10-15,13754.285714285714
87,2021-10-22,14983.57142857143
88,2021-10-29,13785.0
89,2021-11-05,9891.0
90,2021-11-12,6452.714285714285
91,2021-11-19,3535.1428571428573
92,2021-11-26,2386.8571428571427
93,2021-12-03,1438.5714285714287
94,2021-12-10,1230.5714285714287
95,2021-12-17,808.4285714285714
96,2021-12-24,693.0
97,2021-12-31,877.4285714285714
98,2022-01-07,2949.1428571428573
99,2022-01-14,6860.0
100,2022-01-21,12590.57142857143
101,2022-01-28,21544.714285714286
102,2022-02-04,30026.0
103,2022-02-11,26263.428571428572
104,2022-02-18,17175.714285714286
105,2022-02-25,11317.857142857143
106,2022-03-04,6630.714285714285
107,2022-03-11,4274.428571428572
108,2022-03-18,3175.714285714286
109,2022-03-25,3591.8571428571427
110,2022-04-01,3078.0
111,2022-04-08,2172.4285714285716
112,2022-04-15,1463.4285714285713
113,2022-04-22,1037.5714285714287
114,2022-04-29,812.7142857142857
115,2022-05-06,793.5714285714286
116,2022-05-13,593.4285714285714
117,2022-05-20,481.85714285714283
118,2022-05-27,362.2857142857143
119,2022-06-03,298.0
120,2022-06-10,314.2857142857143
121,2022-06-17,143.0
122,2022-06-24,372.7142857142857
123,2022-07-01,567.7142857142857
