,date_time,average_cases_7
0,2020-02-21,0.0
1,2020-02-28,0.0
2,2020-03-06,0.0
3,2020-03-13,1.2857142857142858
4,2020-03-20,14.142857142857142
5,2020-03-27,51.714285714285715
6,2020-04-03,85.0
7,2020-04-10,141.28571428571428
8,2020-04-17,150.14285714285714
9,2020-04-24,178.71428571428572
10,2020-05-01,265.0
11,2020-05-08,392.57142857142856
12,2020-05-15,567.2857142857143
13,2020-05-22,679.5714285714286
14,2020-05-29,916.7142857142857
15,2020-06-05,1321.4285714285713
16,2020-06-12,1475.4285714285713
17,2020-06-19,1909.142857142857
18,2020-06-26,2866.714285714286
19,2020-07-03,3556.5714285714284
20,2020-07-10,3804.1428571428573
21,2020-07-17,5218.714285714285
22,2020-07-24,7608.428571428572
23,2020-07-31,8232.42857142857
24,2020-08-07,9951.285714285714
25,2020-08-14,10972.142857142857
26,2020-08-21,11379.857142857143
27,2020-08-28,10013.142857142857
28,2020-09-04,8724.142857142857
29,2020-09-11,7644.571428571428
30,2020-09-18,7075.142857142857
31,2020-09-25,6841.571428571428
32,2020-10-02,6487.285714285715
33,2020-10-09,6857.714285714285
34,2020-10-16,7496.571428571428
35,2020-10-23,7363.0
36,2020-10-30,8605.0
37,2020-11-06,9449.857142857143
38,2020-11-13,8177.428571428572
39,2020-11-20,7525.285714285715
40,2020-11-27,7569.714285714285
41,2020-12-04,9014.0
42,2020-12-11,8292.0
43,2020-12-18,9209.42857142857
44,2020-12-25,12603.857142857143
45,2021-01-01,11662.142857142857
46,2021-01-08,13330.0
47,2021-01-15,16029.857142857143
48,2021-01-22,17857.0
49,2021-01-29,14046.57142857143
50,2021-02-05,10045.285714285714
51,2021-02-12,6817.857142857143
52,2021-02-19,4907.714285714285
53,2021-02-26,4263.0
54,2021-03-05,3586.285714285714
55,2021-03-12,3330.5714285714284
56,2021-03-19,4027.714285714286
57,2021-03-26,5579.428571428572
58,2021-04-02,7595.285714285715
59,2021-04-09,10462.857142857143
60,2021-04-16,15169.142857142857
61,2021-04-23,16501.714285714286
62,2021-04-30,17616.14285714286
63,2021-05-07,15712.142857142857
64,2021-05-14,16301.142857142857
65,2021-05-21,16058.142857142857
66,2021-05-28,18996.428571428572
67,2021-06-04,23617.285714285714
68,2021-06-11,25201.85714285714
69,2021-06-18,27720.571428571428
70,2021-06-25,28162.428571428572
71,2021-07-02,30566.571428571428
72,2021-07-09,26547.0
73,2021-07-16,19794.428571428572
74,2021-07-23,16374.57142857143
75,2021-07-30,11020.714285714286
76,2021-08-06,8274.857142857143
77,2021-08-13,5322.857142857143
78,2021-08-20,3571.4285714285716
79,2021-08-27,2832.4285714285716
80,2021-09-03,1990.2857142857142
81,2021-09-10,1730.7142857142858
82,2021-09-17,1624.4285714285713
83,2021-09-24,1519.2857142857142
84,2021-10-01,1520.7142857142858
85,2021-10-08,1428.4285714285713
86,2021-10-15,1401.2857142857142
87,2021-10-22,1299.2857142857142
88,2021-10-29,1563.2857142857142
89,2021-11-05,1629.2857142857142
90,2021-11-12,2074.285714285714
91,2021-11-19,2417.8571428571427
92,2021-11-26,2387.0
93,2021-12-03,2366.285714285714
94,2021-12-10,2080.5714285714284
95,2021-12-17,1909.2857142857142
96,2021-12-24,1853.2857142857142
97,2021-12-31,3697.714285714286
98,2022-01-07,11575.714285714286
99,2022-01-14,27295.0
100,2022-01-21,30546.0
101,2022-01-28,24897.0
102,2022-02-04,16860.85714285714
103,2022-02-11,11068.0
104,2022-02-18,5261.285714285715
105,2022-02-25,3311.0
106,2022-03-04,1816.5714285714287
107,2022-03-11,1018.8571428571429
108,2022-03-18,618.8571428571429
109,2022-03-25,534.1428571428571
110,2022-04-01,332.14285714285717
111,2022-04-08,322.85714285714283
112,2022-04-15,300.14285714285717
113,2022-04-22,190.57142857142858
114,2022-04-29,244.71428571428572
115,2022-05-06,101.14285714285714
116,2022-05-13,139.71428571428572
117,2022-05-20,238.71428571428572
118,2022-05-27,542.1428571428571
119,2022-06-03,620.5714285714286
120,2022-06-10,807.1428571428571
121,2022-06-17,1248.857142857143
122,2022-06-24,1972.857142857143
123,2022-07-01,2813.8571428571427
