,date_time,average_cases_7
0,2020-02-21,0.0
1,2020-02-28,0.0
2,2020-03-06,0.14285714285714285
3,2020-03-13,6.857142857142857
4,2020-03-20,43.714285714285715
5,2020-03-27,123.71428571428571
6,2020-04-03,246.42857142857142
7,2020-04-10,375.57142857142856
8,2020-04-17,334.7142857142857
9,2020-04-24,370.42857142857144
10,2020-05-01,338.0
11,2020-05-08,310.0
12,2020-05-15,366.85714285714283
13,2020-05-22,361.14285714285717
14,2020-05-29,383.14285714285717
15,2020-06-05,317.57142857142856
16,2020-06-12,450.42857142857144
17,2020-06-19,402.0
18,2020-06-26,300.57142857142856
19,2020-07-03,289.57142857142856
20,2020-07-10,257.85714285714283
21,2020-07-17,300.42857142857144
22,2020-07-24,360.85714285714283
23,2020-07-31,493.0
24,2020-08-07,640.5714285714286
25,2020-08-14,710.2857142857143
26,2020-08-21,698.7142857142857
27,2020-08-28,758.7142857142857
28,2020-09-04,634.2857142857143
29,2020-09-11,474.85714285714283
30,2020-09-18,588.2857142857143
31,2020-09-25,891.1428571428571
32,2020-10-02,1524.5714285714287
33,2020-10-09,2588.285714285714
34,2020-10-16,5472.0
35,2020-10-23,9254.714285714286
36,2020-10-30,14931.285714285714
37,2020-11-06,23067.714285714286
38,2020-11-13,26973.85714285714
39,2020-11-20,23964.85714285714
40,2020-11-27,17705.571428571428
41,2020-12-04,11914.857142857143
42,2020-12-11,10480.0
43,2020-12-18,9662.0
44,2020-12-25,9461.57142857143
45,2021-01-01,8173.0
46,2021-01-08,8533.57142857143
47,2021-01-15,8061.857142857143
48,2021-01-22,6040.571428571428
49,2021-01-29,5445.285714285715
50,2021-02-05,5250.0
51,2021-02-12,5352.857142857143
52,2021-02-19,6597.857142857143
53,2021-02-26,8796.42857142857
54,2021-03-05,11671.285714285714
55,2021-03-12,14519.285714285714
56,2021-03-19,20275.428571428572
57,2021-03-26,25549.285714285714
58,2021-04-02,28216.571428571428
59,2021-04-09,20064.428571428572
60,2021-04-16,18865.571428571428
61,2021-04-23,11713.0
62,2021-04-30,7143.142857142857
63,2021-05-07,4610.857142857143
64,2021-05-14,3574.285714285714
65,2021-05-21,2002.142857142857
66,2021-05-28,1084.7142857142858
67,2021-06-04,547.1428571428571
68,2021-06-11,353.14285714285717
69,2021-06-18,210.0
70,2021-06-25,143.85714285714286
71,2021-07-02,92.0
72,2021-07-09,81.0
73,2021-07-16,82.28571428571429
74,2021-07-23,101.71428571428571
75,2021-07-30,120.28571428571429
76,2021-08-06,144.42857142857142
77,2021-08-13,169.14285714285714
78,2021-08-20,189.28571428571428
79,2021-08-27,212.85714285714286
80,2021-09-03,290.7142857142857
81,2021-09-10,410.42857142857144
82,2021-09-17,564.7142857142857
83,2021-09-24,725.7142857142857
84,2021-10-01,965.7142857142857
85,2021-10-08,1490.0
86,2021-10-15,2138.714285714286
87,2021-10-22,4012.0
88,2021-10-29,6620.428571428572
89,2021-11-05,9742.714285714286
90,2021-11-12,14176.0
91,2021-11-19,18171.285714285714
92,2021-11-26,22544.285714285714
93,2021-12-03,23190.285714285714
94,2021-12-10,23081.714285714286
95,2021-12-17,19777.85714285714
96,2021-12-24,15622.42857142857
97,2021-12-31,10772.714285714286
98,2022-01-07,11853.857142857143
99,2022-01-14,12899.285714285714
100,2022-01-21,23106.571428571428
101,2022-01-28,44200.0
102,2022-02-04,47228.857142857145
103,2022-02-11,37590.857142857145
104,2022-02-18,24459.85714285714
105,2022-02-25,16918.85714285714
106,2022-03-04,11956.857142857143
107,2022-03-11,11237.285714285714
108,2022-03-18,10726.285714285714
109,2022-03-25,8290.714285714286
110,2022-04-01,4837.571428571428
111,2022-04-08,1342.0
112,2022-04-15,1071.4285714285713
113,2022-04-22,821.4285714285714
114,2022-04-29,865.7142857142857
115,2022-05-06,549.0
116,2022-05-13,478.0
117,2022-05-20,319.7142857142857
118,2022-05-27,244.0
119,2022-06-03,212.28571428571428
120,2022-06-10,204.42857142857142
121,2022-06-17,170.42857142857142
122,2022-06-24,245.14285714285714
123,2022-07-01,428.42857142857144
